SRC,DST,LEN
24.64.208.134 ,216.58.112.55 ,512 
24.64.208.134 ,216.58.112.55 ,512 
24.64.208.134 ,216.58.112.55 ,512 
207.68.178.56 ,216.58.112.55 ,40 
123.112.87.126 ,216.58.112.55 ,44 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
72.197.8.56 ,216.58.112.55 ,51 
71.228.199.109 ,216.58.112.55 ,51 
99.248.20.48 ,216.58.112.55 ,51 
75.117.31.43 ,216.58.112.55 ,51 
58.160.93.74 ,216.58.112.55 ,51 
85.54.146.31 ,216.58.112.55 ,44 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
58.147.54.65 ,216.58.112.55 ,48 
24.64.234.162 ,216.58.112.55 ,512 
24.64.234.162 ,216.58.112.55 ,512 
24.64.234.162 ,216.58.112.55 ,512 
142.162.239.193 ,216.58.112.55 ,48 
190.40.97.52 ,216.58.112.55 ,48 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
207.24.89.66 ,216.58.112.55 ,60 
192.168.17.11 ,10.97.14.25 ,76 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
69.115.209.62 ,216.58.112.55 ,48 
71.228.199.109 ,216.58.112.55 ,48 
63.227.65.151 ,216.58.112.55 ,52 
76.87.248.152 ,216.58.112.55 ,48 
201.26.136.92 ,216.58.112.55 ,48 
70.189.221.153 ,216.58.112.55 ,48 
59.100.237.219 ,216.58.112.55 ,48 
24.64.136.199 ,216.58.112.55 ,512 
192.168.17.113 ,207.68.178.56 ,40 
192.168.17.113 ,207.68.178.56 ,40 
192.168.17.113 ,207.68.178.56 ,40 
192.168.17.113 ,207.68.178.56 ,40 
192.168.17.113 ,207.68.178.56 ,40 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
192.168.17.113 ,207.68.178.56 ,40 
151.9.246.29 ,216.58.112.55 ,48 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
216.51.106.52 ,216.58.112.55 ,48 
66.214.36.72 ,216.58.112.55 ,113 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
207.68.178.56 ,216.58.112.55 ,40 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
216.51.106.52 ,216.58.112.55 ,48 
192.168.17.11 ,10.97.14.25 ,76 
209.131.38.249 ,216.58.112.55 ,60 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
122.162.36.15 ,216.58.112.55 ,44 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
216.211.188.107 ,216.58.112.55 ,48 
216.211.188.107 ,216.58.112.55 ,48 
24.174.141.170 ,216.58.112.55 ,51 
99.251.241.22 ,216.58.112.55 ,51 
75.27.233.174 ,216.58.112.55 ,51 
91.139.26.208 ,216.58.112.55 ,51 
72.129.201.114 ,216.58.112.55 ,51 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
79.186.174.12 ,216.58.112.55 ,60 
71.170.80.136 ,216.58.112.55 ,48 
106.108.177.47 ,216.58.112.55 ,387 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
66.11.164.174 ,216.58.112.55 ,60 
24.64.216.116 ,216.58.112.55 ,512 
24.64.216.116 ,216.58.112.55 ,512 
24.64.216.116 ,216.58.112.55 ,512 
196.206.134.152 ,216.58.112.55 ,48 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
121.14.136.101 ,216.58.112.55 ,40 
71.228.199.109 ,216.58.112.55 ,48 
69.139.205.220 ,216.58.112.55 ,48 
66.24.36.155 ,216.58.112.55 ,64 
210.213.141.86 ,216.58.112.55 ,48 
66.24.36.155 ,216.58.112.55 ,64 
205.250.109.214 ,216.58.112.55 ,48 
192.168.17.11 ,10.97.14.25 ,76 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
162.86.171.88 ,216.58.112.55 ,374 
24.64.125.106 ,216.58.112.55 ,512 
219.139.115.162 ,216.58.112.55 ,48 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
200.8.71.247 ,216.58.112.55 ,44 
24.64.232.7 ,216.58.112.55 ,512 
24.64.232.7 ,216.58.112.55 ,512 
24.64.232.7 ,216.58.112.55 ,512 
59.95.27.206 ,216.58.112.55 ,44 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
24.64.240.226 ,216.58.112.55 ,512 
24.64.240.226 ,216.58.112.55 ,512 
24.64.240.226 ,216.58.112.55 ,512 
60.87.149.61 ,216.58.112.55 ,386 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
24.64.31.188 ,216.58.112.55 ,512 
24.64.31.188 ,216.58.112.55 ,512 
24.64.31.188 ,216.58.112.55 ,512 
163.140.169.38 ,216.58.112.55 ,387 
209.226.175.184 ,216.58.112.55 ,48 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
113.22.125.157 ,216.58.112.55 ,375 
222.162.78.66 ,216.58.112.55 ,48 
80.254.112.200 ,216.58.112.55 ,48 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
192.168.17.11 ,10.97.14.25 ,76 
122.164.76.172 ,216.58.112.55 ,48 
83.239.155.146 ,216.58.112.55 ,44 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
72.129.201.114 ,216.58.112.55 ,51 
68.43.45.155 ,216.58.112.55 ,51 
68.46.224.58 ,216.58.112.55 ,51 
71.194.107.51 ,216.58.112.55 ,51 
67.8.58.212 ,216.58.112.55 ,51 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
63.167.69.69 ,216.58.112.55 ,387 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
24.149.194.222 ,216.58.112.55 ,125 
77.234.15.211 ,216.58.112.55 ,44 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
72.230.93.214 ,216.58.112.55 ,124 
67.173.3.23 ,216.58.112.55 ,48 
75.171.122.220 ,216.58.112.55 ,48 
68.81.84.44 ,216.58.112.55 ,48 
67.173.3.23 ,216.58.112.55 ,48 
75.132.195.128 ,216.58.112.55 ,48 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
192.168.17.113 ,207.68.178.56 ,40 
192.168.17.113 ,207.68.178.56 ,40 
192.168.17.113 ,207.68.178.56 ,40 
192.168.17.113 ,207.68.178.56 ,40 
192.168.17.113 ,207.68.178.56 ,40 
24.64.35.180 ,216.58.112.55 ,512 
24.64.35.180 ,216.58.112.55 ,512 
24.64.35.180 ,216.58.112.55 ,512 
122.162.219.240 ,216.58.112.55 ,44 
192.168.17.113 ,207.68.178.56 ,40 
192.168.17.24 ,192.168.9.51 ,235 
192.168.17.24 ,192.168.10.60 ,235 
192.168.17.24 ,192.168.9.51 ,204 
192.168.17.24 ,192.168.10.60 ,204 
